#group,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string,string,string,double,dateTime:RFC3339
#default,median,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,class,host,location,metric_type,model,sensorid,sensorplatform,sensortype,type,_value,_time
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,375621.28125,2026-07-07T14:25:00Z
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,353007.15625,2026-07-07T14:26:00Z
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,327414.46875,2026-07-07T14:27:00Z
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,365837.0625,2026-07-07T14:28:00Z
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,354482.5,2026-07-07T14:29:00Z
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,371014.59375,2026-07-07T14:30:00Z
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,351548.375,2026-07-07T14:31:00Z
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,356148.53125,2026-07-07T14:32:00Z
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,358557.34375,2026-07-07T14:33:00Z
,,7,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,value,woodstack,ch00,dell01,MER,gauge,R630,woodstack01-mer,esp32,resistance,physical,355018.875,2026-07-07T14:34:00Z
